Protein 1	Protein 2	Integrated score	evidence: Protein co-expression	evidence: Co-dependence	evidence: Sequence similarity	evidence: Physical	evidence: mRNA co-expression	edge_role
IFNG	ZFAND3	0.335	0.08	0.021	0.036	0.076	0.455	core
IFNG	ZFP36	0.334	0.004	0.046	0.085	0.075	0.473	core
IFNG	ZFP91	0.3	0.006	0.078	0.151	0.113	0.424	core
IFNG	ZHX3	0.312	0.062	0.029	0.006	0.105	0.384	core
IFNG	ZMAT2	0.327	0.185	0.061	0.036	0.13	0.488	core
IFNG	ZMIZ1	0.331	0.059	0.024	0.124	0.075	0.447	core
IFNG	ZNF80	0.39	0.02	0.003	0.036	0.014	0.456	core
IFNG	ZNF131	0.319	0.056	0.145	0.001	0.115	0.351	core
IFNG	ZNF207	0.306	0.075	0.09	0.137	0.109	0.409	core
IFNG	ZNF217	0.327	0.08	0.042	0.097	0.113	0.45	core
IFNG	ZNF316	0.373	0.02	0.008	0.036	0.044	0.448	core
IFNG	ZNF683	0.309	0.02	0.063	0.036	0.014	0.479	core
IFNGR1	JAK1	0.441	0.199	0.052	0.123	0.483	0.156	core
IFNGR1	JAK2	0.374	0.208	0.258	0.009	0.45	0.184	core
IFNGR1	NR1H4	0.359	0.039	0.018	0.005	0.131	0.465	core
IFNGR1	STAT1	0.444	0.123	0.175	0.143	0.463	0.204	core
IFNGR1	TGFBR2	0.718	0.101	0.09	0.116	0.336	0.236	core
IFNGR1	TNF	0.393	0.001	0.071	0.159	0.157	0.512	core
IFNGR1	TNFRSF10B	0.333	0.091	0.079	0.005	0.442	0.219	core
IFNGR1	UGCG	0.453	0.231	0.065	0.095	0.454	0.206	core
IFNL1	IL12RB1	0.352	0.043	0.199	0.126	0.045	0.406	core
IFNL1	IL27	0.318	0.001	0.158	0.015	0.029	0.451	core
IFNL1	IRF1	0.306	0.001	0.095	0.085	0.028	0.411	core
IFNL1	IRF7	0.328	0.006	0.043	0.0	0.024	0.472	core
IFNL1	LY6E	0.313	0.001	0.044	0.002	0.005	0.418	core
IFNL1	MX1	0.307	0.051	0.076	0.203	0.045	0.526	core
IFNL1	MX2	0.315	0.046	0.044	0.148	0.005	0.501	core
IFNL1	NKG7	0.303	0.004	0.084	0.009	0.028	0.387	core
IFNL1	OASL	0.31	0.001	0.02	0.092	0.03	0.522	core
IFNL1	PARP9	0.332	0.0	0.067	0.127	0.06	0.498	core
IFNL1	PARP10	0.317	0.047	0.151	0.071	0.004	0.422	core
IFNL1	PARP12	0.34	0.02	0.024	0.036	0.042	0.43	core
IFNL1	PLSCR1	0.345	0.004	0.083	0.2	0.045	0.497	core
IFNL1	PRF1	0.328	0.043	0.047	0.0	0.03	0.462	core
IFNL1	PSMB9	0.36	0.039	0.074	0.016	0.047	0.448	core
IFNL1	RSAD2	0.352	0.042	0.057	0.085	0.049	0.524	core
IFNL1	RTP4	0.345	0.005	0.035	0.102	0.031	0.413	core
IFNL1	SIGLEC1	0.319	0.02	0.032	0.036	0.014	0.432	core
IFNL1	SLA2	0.325	0.007	0.061	0.071	0.002	0.442	core
IFNL1	SP100	0.353	0.002	0.02	0.009	0.041	0.447	core
IFNL1	SP110	0.314	0.038	0.014	0.014	0.003	0.489	core
IFNL1	STAT2	0.332	0.046	0.021	0.075	0.04	0.431	core
IFNL1	STX11	0.315	0.042	0.055	0.108	0.046	0.366	core
IFNL1	TBX21	0.313	0.046	0.094	0.082	0.001	0.42	core
IFNL1	TMEM140	0.322	0.02	0.052	0.036	0.014	0.434	core
IFNL1	TMIGD2	0.304	0.001	0.059	0.012	0.002	0.423	core
IFNL1	TRIM22	0.318	0.051	0.058	0.077	0.025	0.466	core
IFNL1	TYMP	0.333	0.049	0.18	0.228	0.052	0.394	core
IFNL1	UBE2L6	0.319	0.037	0.081	0.001	0.059	0.477	core
IFNL1	XAF1	0.313	0.0	0.065	0.013	0.005	0.517	core
IFNL1	ZBP1	0.338	0.045	0.058	0.103	0.027	0.47	core
IFNL1	ZNFX1	0.362	0.02	0.037	0.036	0.048	0.444	core
IFRD1	TNF	0.362	0.003	0.002	0.13	0.159	0.462	core
IFRD2	MRTO4	0.318	0.304	0.017	0.036	0.373	0.348	core
IFRD2	MYBBP1A	0.344	0.372	0.044	0.003	0.389	0.415	core
IFRD2	NPM1	0.414	0.306	0.044	0.097	0.453	0.237	core
IFRD2	PA2G4	0.312	0.168	0.037	0.189	0.436	0.366	core
IFRD2	RPL10A	0.3	0.353	0.112	0.08	0.413	0.255	core
IFRD2	RPS2	0.333	0.25	0.185	0.104	0.43	0.229	core
IFRD2	RPS3	0.322	0.366	0.039	0.172	0.419	0.228	core
IFRD2	RPS7	0.315	0.212	0.092	0.153	0.436	0.285	core
IFRD2	RPS27	0.31	0.29	0.048	0.003	0.416	0.178	core
IFRD2	RRP9	0.313	0.342	0.039	0.102	0.191	0.478	core
IFRD2	SERBP1	0.305	0.182	0.055	0.089	0.434	0.339	core
IFRD2	SNCA	0.321	0.134	0.039	0.001	0.23	0.379	core
IFRD2	TERT	0.43	0.059	0.115	0.073	0.091	0.496	core
IFRD2	TNF	0.387	0.006	0.032	0.241	0.186	0.474	core
IFT20	UQCC3	0.346	0.265	0.068	0.009	0.04	0.346	core
IFT22	IFT88	0.441	0.305	0.036	0.004	0.451	0.247	core
IFT22	TTC30A	0.315	0.353	0.062	0.036	0.393	0.319	core
IFT22	TTC30B	0.373	0.071	0.06	0.153	0.433	0.323	core
IFT27	TNF	0.353	0.04	0.003	0.11	0.166	0.454	core
IFT27	UBXN10	0.33	0.02	0.054	0.036	0.44	0.095	core
IFT46	IFT52	0.367	0.429	0.03	0.093	0.383	0.239	core
IFT46	IFT74	0.343	0.33	0.08	0.145	0.421	0.216	core
IFT52	IFT57	0.468	0.32	0.014	0.348	0.435	0.204	core
IFT52	IFT74	0.49	0.44	0.015	0.21	0.444	0.133	core
IFT52	IFT80	0.365	0.336	0.022	0.347	0.232	0.162	core
IFT52	IFT81	0.51	0.515	0.015	0.005	0.439	0.27	core
IFT52	IFT88	0.386	0.475	0.059	0.348	0.376	0.253	core
IFT52	IFT172	0.353	0.281	0.019	0.348	0.347	0.214	core
IFT52	TNF	0.328	0.051	0.046	0.238	0.136	0.423	core
IFT52	TRAF3IP1	0.312	0.36	0.174	0.011	0.402	0.193	core
IFT52	TTC26	0.331	0.508	0.056	0.137	0.192	0.276	core
IFT52	TTC30A	0.358	0.48	0.027	0.036	0.42	0.221	core
IFT52	UBXN10	0.322	0.02	0.05	0.036	0.446	0.064	core
IFT57	IFT74	0.562	0.44	0.092	0.013	0.455	0.201	core
IFT57	IFT80	0.324	0.262	0.116	0.347	0.417	0.237	core
IFT57	IFT81	0.512	0.431	0.077	0.081	0.452	0.171	core
IFT57	IFT88	0.584	0.24	0.051	0.348	0.456	0.188	core
IFT57	IFT172	0.332	0.315	0.259	0.348	0.408	0.165	core
IFT57	INS	0.328	0.045	0.257	0.006	0.037	0.432	core
IFT57	TERT	0.31	0.062	0.118	0.167	0.096	0.374	core
IFT57	TNF	0.378	0.002	0.0	0.229	0.17	0.476	core
IFT57	TRAF3IP1	0.37	0.238	0.013	0.016	0.441	0.174	core
IFT74	IFT81	0.651	0.57	0.137	0.396	0.459	0.269	core
IFT74	IFT88	0.333	0.42	0.039	0.138	0.383	0.232	core
IFT74	IFT172	0.409	0.438	0.019	0.086	0.383	0.244	core
IFT74	TERT	0.304	0.061	0.044	0.002	0.092	0.369	core
IFT74	TNF	0.346	0.045	0.015	0.015	0.172	0.475	core
IFT74	TRAF3IP1	0.35	0.329	0.036	0.008	0.411	0.283	core
IFT74	TTC30A	0.497	0.497	0.02	0.036	0.42	0.321	core
IFT74	UBXN10	0.421	0.02	0.055	0.036	0.467	0.145	core
IFT80	IFT88	0.355	0.28	0.04	0.348	0.4	0.222	core
IFT80	IFT172	0.354	0.303	0.026	0.347	0.371	0.311	core
IFT80	TRAF3IP1	0.336	0.424	0.025	0.153	0.377	0.208	core
IFT80	TTC30B	0.336	0.118	0.06	0.099	0.438	0.316	core
IFT81	IFT88	0.359	0.428	0.037	0.073	0.39	0.364	core
IFT81	TRAF3IP1	0.301	0.365	0.043	0.071	0.384	0.213	core
IFT81	TTC26	0.361	0.507	0.051	0.004	0.185	0.365	core
IFT81	TTC30A	0.469	0.516	0.027	0.036	0.418	0.285	core
IFT88	IFT140	0.314	0.426	0.098	0.348	0.038	0.229	core
IFT88	IFT172	0.383	0.353	0.122	0.347	0.429	0.197	core
IFT88	INS	0.31	0.039	0.019	0.157	0.034	0.315	core
IFT88	PKD2	0.3	0.167	0.065	0.347	0.26	0.177	core
IFT88	TGFBR1	0.333	0.102	0.08	0.348	0.166	0.14	core
IFT88	TNF	0.342	0.045	0.025	0.013	0.177	0.469	core
IFT88	TRAF3IP1	0.448	0.332	0.231	0.177	0.46	0.188	core
IFT88	TTC30A	0.418	0.449	0.014	0.349	0.384	0.229	core
IFT88	TTC30B	0.412	0.079	0.019	0.349	0.446	0.281	core
IFT88	UBXN10	0.372	0.02	0.067	0.036	0.45	0.136	core
IFT122	IFT140	0.39	0.436	0.17	0.015	0.418	0.304	core
IFT122	WDR19	0.343	0.409	0.027	0.072	0.399	0.27	core
IFT122	WDR35	0.605	0.475	0.038	0.138	0.497	0.228	core
IFT140	IFT172	0.392	0.327	0.023	0.347	0.038	0.439	core
IFT140	RABL2A	0.304	0.296	0.066	0.036	0.052	0.402	core
IFT140	WDR19	0.367	0.427	0.078	0.008	0.41	0.297	core
IFT140	WDR35	0.314	0.338	0.003	0.007	0.403	0.312	core
IFT172	TNF	0.343	0.001	0.014	0.004	0.142	0.454	core
IFT172	TRAF3IP1	0.314	0.358	0.035	0.002	0.398	0.25	core
IGBP1	MID1	0.411	0.129	0.011	0.006	0.51	0.101	core
IGBP1	MID2	0.326	0.001	0.004	0.011	0.455	0.079	core
IGBP1	MRPL30	0.304	0.158	0.005	0.143	0.13	0.422	core
IGBP1	MTOR	0.467	0.151	0.011	0.477	0.222	0.183	core
IGBP1	PPP2CA	0.658	0.089	0.011	0.584	0.477	0.194	core
IGBP1	PPP2CB	0.663	0.095	0.004	0.581	0.516	0.144	core
IGBP1	PPP2R1A	0.413	0.096	0.012	0.523	0.345	0.256	core
IGBP1	PPP2R2A	0.326	0.217	0.004	0.435	0.198	0.131	core
IGBP1	PPP2R5D	0.311	0.137	0.004	0.417	0.378	0.19	core
IGBP1	PPP4C	0.498	0.128	0.012	0.464	0.52	0.169	core
IGBP1	PPP6C	0.702	0.101	0.005	0.572	0.483	0.24	core
IGBP1	PPP6R3	0.399	0.104	0.005	0.448	0.223	0.145	core
IGBP1	RPL7	0.308	0.114	0.004	0.123	0.201	0.457	core
IGBP1	RPL30	0.303	0.097	0.004	0.014	0.22	0.411	core
IGBP1	RPS3A	0.303	0.097	0.012	0.008	0.2	0.398	core
IGBP1	RPS13	0.319	0.097	0.012	0.003	0.227	0.41	core
IGBP1	RPS25	0.31	0.116	0.011	0.267	0.209	0.441	core
IGBP1	STAT1	0.498	0.101	0.012	0.156	0.503	0.136	core
IGBP1	TCP1	0.412	0.114	0.011	0.09	0.478	0.162	core
IGBP1	TIPRL	0.568	0.1	0.004	0.55	0.476	0.196	core
IGBP1	TMSB4X	0.321	0.069	0.012	0.007	0.192	0.248	core
IGBP1	TNF	0.317	0.006	0.011	0.001	0.103	0.502	core
IGBP1	UBR5	0.395	0.088	0.011	0.007	0.499	0.131	core
IGBP1	USP17L2	0.334	0.051	0.004	0.139	0.076	0.422	core
IGF1	IGF2	0.419	0.12	0.079	0.343	0.105	0.106	core
IGF1	IGFBP4	0.367	0.215	0.026	0.073	0.445	0.231	core
IGF1	IGFBP7	0.319	0.156	0.038	0.108	0.448	0.11	core
IGF1	ITGAM	0.395	0.083	0.098	0.001	0.106	0.5	core
IGF1	ITGB2	0.357	0.093	0.06	0.013	0.098	0.53	core
IGF1	LAIR1	0.361	0.095	0.059	0.009	0.091	0.539	core
IGF1	LAPTM5	0.356	0.046	0.013	0.011	0.077	0.512	core
IGF1	LILRB1	0.319	0.09	0.058	0.136	0.003	0.487	core
IGF1	LILRB2	0.345	0.08	0.06	0.002	0.078	0.425	core
IGF1	LY86	0.349	0.071	0.074	0.004	0.106	0.45	core
IGF1	MS4A6A	0.324	0.069	0.051	0.036	0.014	0.437	core
IGF1	MSR1	0.361	0.084	0.048	0.006	0.095	0.467	core
IGF1	MYO1F	0.382	0.087	0.03	0.036	0.035	0.512	core
IGF1	MYO1G	0.309	0.12	0.017	0.246	0.026	0.47	core
IGF1	NCKAP1L	0.343	0.081	0.101	0.0	0.032	0.515	core
IGF1	NLRC4	0.344	0.054	0.02	0.171	0.08	0.52	core
IGF1	NLRP3	0.315	0.004	0.022	0.071	0.1	0.41	core
IGF1	PIK3R5	0.321	0.006	0.042	0.089	0.089	0.431	core
IGF1	PLEK	0.306	0.087	0.018	0.009	0.0	0.477	core
IGF1	SAMSN1	0.309	0.065	0.027	0.002	0.078	0.455	core
IGF1	SASH3	0.35	0.087	0.008	0.036	0.014	0.518	core
IGF1	SIGLEC7	0.311	0.046	0.043	0.092	0.005	0.477	core
IGF1	SIGLEC9	0.334	0.042	0.122	0.093	0.102	0.52	core
IGF1	SPI1	0.38	0.088	0.024	0.092	0.075	0.527	core
IGF1	TFEC	0.306	0.051	0.054	0.002	0.033	0.487	core
IGF1	TGFA	0.388	0.049	0.035	0.343	0.095	0.074	core
IGF1	TLR8	0.317	0.067	0.003	0.014	0.028	0.531	core
IGF1	TNFAIP8L2	0.324	0.089	0.089	0.036	0.014	0.478	core
IGF1	TYROBP	0.391	0.058	0.04	0.0	0.075	0.522	core
IGF1	VSIG4	0.311	0.15	0.012	0.08	0.034	0.469	core
IGF1	WAS	0.347	0.086	0.012	0.081	0.099	0.48	core
IGF1R	IGF2R	0.371	0.151	0.038	0.342	0.175	0.181	core
IGF1R	INSR	0.72	0.322	0.043	0.085	0.506	0.146	core
IGF1R	IRS1	0.444	0.421	0.358	0.007	0.45	0.187	core
IGF1R	KRAS	0.352	0.097	0.069	0.526	0.176	0.111	core
IGF1R	MDM2	0.433	0.007	0.032	0.183	0.497	0.085	core
IGF1R	MTOR	0.362	0.094	0.089	0.348	0.28	0.127	core
IGF1R	NCK1	0.302	0.131	0.027	0.446	0.281	0.115	core
IGF1R	NEDD4	0.425	0.256	0.029	0.083	0.493	0.158	core
IGF1R	NOLC1	0.324	0.123	0.059	0.442	0.214	0.135	core
IGF1R	NR1H4	0.374	0.044	0.047	0.442	0.145	0.291	core
IGF1R	PDPK1	0.37	0.12	0.098	0.548	0.233	0.198	core
IGF1R	PGM1	0.595	0.097	0.017	0.005	0.145	0.085	core
IGF1R	PIK3CA	0.333	0.133	0.049	0.443	0.206	0.146	core
IGF1R	PIK3CD	0.31	0.098	0.062	0.442	0.284	0.166	core
IGF1R	PIK3R3	0.558	0.146	0.041	0.442	0.5	0.094	core
IGF1R	PPM1A	0.439	0.173	0.077	0.379	0.476	0.109	core
IGF1R	PPM1F	0.309	0.103	0.022	0.376	0.196	0.146	core
IGF1R	PTEN	0.421	0.139	0.093	0.564	0.173	0.13	core
IGF1R	PTPN6	0.399	0.124	0.032	0.005	0.49	0.116	core
IGF1R	PTPN11	0.384	0.125	0.075	0.107	0.472	0.112	core
IGF1R	PTPRN	0.31	0.008	0.016	0.437	0.163	0.087	core
IGF1R	RACK1	0.397	0.106	0.014	0.098	0.468	0.126	core
IGF1R	RASA1	0.393	0.102	0.138	0.005	0.476	0.123	core
IGF1R	RNF41	0.647	0.094	0.04	0.126	0.286	0.099	core
IGF1R	SHC1	0.365	0.104	0.079	0.1	0.472	0.132	core
IGF1R	SIN3A	0.323	0.247	0.057	0.435	0.319	0.177	core
IGF1R	SOCS3	0.323	0.005	0.102	0.013	0.462	0.066	core
IGF1R	TNF	0.35	0.002	0.017	0.0	0.186	0.473	core
IGF1R	TSC1	0.347	0.247	0.023	0.461	0.215	0.147	core
IGF1R	YWHAE	0.346	0.144	0.027	0.005	0.451	0.104	core
IGF2	IGF2R	0.361	0.086	0.068	0.342	0.088	0.054	core
IGF2	IGFALS	0.363	0.093	0.149	0.342	0.078	0.062	core
IGF2	IGFBP1	0.449	0.048	0.102	0.002	0.504	0.09	core
IGF2	IGFBP3	0.304	0.124	0.115	0.135	0.448	0.066	core
IGF2	IGFBP5	0.364	0.193	0.027	0.342	0.103	0.09	core
IGF2	PAPPA	0.302	0.008	0.028	0.343	0.079	0.026	core
IGF2	SLC22A18	0.375	0.071	0.181	0.343	0.136	0.044	core
IGF2	TGFB1	0.422	0.068	0.092	0.343	0.145	0.08	core
IGF2	WT1	0.323	0.072	0.024	0.343	0.104	0.043	core
IGF2BP1	IGF2BP3	0.35	0.447	0.002	0.077	0.427	0.245	core
IGF2BP1	ILF2	0.395	0.13	0.056	0.011	0.457	0.358	core
IGF2BP1	ILF3	0.326	0.096	0.048	0.003	0.436	0.319	core
IGF2BP1	KHDRBS1	0.306	0.185	0.049	0.36	0.376	0.381	core
IGF2BP1	MAGOH	0.339	0.074	0.029	0.123	0.377	0.377	core
IGF2BP1	MOV10	0.34	0.246	0.137	0.127	0.436	0.173	core
IGF2BP1	MRPS6	0.337	0.163	0.214	0.002	0.444	0.115	core
IGF2BP1	MRPS18B	0.312	0.099	0.202	0.104	0.41	0.291	core
IGF2BP1	MRPS22	0.408	0.158	0.1	0.009	0.462	0.311	core
IGF2BP1	MRPS27	0.3	0.108	0.184	0.006	0.423	0.332	core
IGF2BP1	MRTO4	0.311	0.091	0.114	0.036	0.438	0.324	core
IGF2BP1	MYBBP1A	0.327	0.168	0.105	0.089	0.437	0.277	core
IGF2BP1	NCBP1	0.33	0.115	0.053	0.015	0.44	0.246	core
IGF2BP1	NCL	0.343	0.166	0.075	0.147	0.42	0.401	core
IGF2BP1	NOC2L	0.31	0.198	0.113	0.092	0.423	0.347	core
IGF2BP1	NOP2	0.34	0.167	0.075	0.002	0.44	0.237	core
IGF2BP1	NOP58	0.322	0.131	0.062	0.074	0.434	0.323	core
IGF2BP1	PABPC1	0.394	0.117	0.105	0.358	0.453	0.221	core
IGF2BP1	PABPC4	0.36	0.308	0.06	0.358	0.43	0.319	core
IGF2BP1	PLRG1	0.3	0.153	0.125	0.076	0.38	0.346	core
IGF2BP1	PRPF19	0.302	0.355	0.065	0.092	0.377	0.316	core
IGF2BP1	PRRC2C	0.308	0.256	0.032	0.17	0.438	0.24	core
IGF2BP1	PSMC2	0.32	0.217	0.048	0.014	0.291	0.367	core
IGF2BP1	PSMD2	0.32	0.203	0.072	0.002	0.305	0.357	core
IGF2BP1	PSMD14	0.318	0.183	0.03	0.002	0.359	0.366	core
IGF2BP1	PTCD3	0.308	0.112	0.153	0.015	0.439	0.237	core
IGF2BP1	PWP1	0.344	0.15	0.018	0.154	0.406	0.382	core
IGF2BP1	RBM8A	0.304	0.29	0.146	0.092	0.363	0.287	core
IGF2BP1	RBM39	0.311	0.34	0.029	0.094	0.399	0.141	core
IGF2BP1	RPL5	0.404	0.112	0.061	0.102	0.463	0.243	core
IGF2BP1	RPL7	0.406	0.1	0.087	0.088	0.455	0.256	core
IGF2BP1	RPL7A	0.4	0.1	0.039	0.01	0.445	0.241	core
IGF2BP1	RPL8	0.478	0.126	0.151	0.002	0.484	0.261	core
IGF2BP1	RPL11	0.312	0.151	0.105	0.153	0.42	0.296	core
IGF2BP1	RPL13	0.412	0.095	0.085	0.071	0.458	0.188	core
IGF2BP1	RPL14	0.402	0.128	0.037	0.0	0.457	0.262	core
IGF2BP1	RPL18	0.421	0.17	0.079	0.014	0.462	0.194	core
IGF2BP1	RPL18A	0.407	0.09	0.039	0.094	0.459	0.259	core
IGF2BP1	RPL19	0.425	0.095	0.048	0.012	0.459	0.31	core
IGF2BP1	RPL21	0.457	0.115	0.117	0.014	0.496	0.233	core
IGF2BP1	RPL23A	0.441	0.1	0.041	0.08	0.474	0.282	core
IGF2BP1	RPL26	0.429	0.095	0.151	0.006	0.449	0.297	core
IGF2BP1	RPL27A	0.303	0.158	0.067	0.008	0.417	0.294	core
IGF2BP1	RPL30	0.437	0.117	0.048	0.094	0.462	0.291	core
IGF2BP1	RPL32	0.443	0.104	0.033	0.002	0.474	0.283	core
IGF2BP1	RPL36	0.319	0.092	0.087	0.108	0.441	0.254	core
IGF2BP1	RPLP1	0.375	0.112	0.071	0.001	0.459	0.211	core
IGF2BP1	RPS2	0.316	0.093	0.065	0.012	0.44	0.255	core
IGF2BP1	RPS3A	0.318	0.084	0.064	0.011	0.441	0.276	core
IGF2BP1	RPS5	0.416	0.1	0.129	0.012	0.455	0.22	core
IGF2BP1	RPS6	0.401	0.097	0.074	0.007	0.444	0.251	core
IGF2BP1	RPS8	0.426	0.093	0.081	0.01	0.476	0.257	core
IGF2BP1	RPS9	0.507	0.092	0.064	0.078	0.514	0.225	core
IGF2BP1	RPS10	0.359	0.116	0.036	0.131	0.443	0.262	core
IGF2BP1	RPS12	0.422	0.098	0.045	0.212	0.476	0.248	core
IGF2BP1	RPS13	0.382	0.094	0.063	0.085	0.456	0.26	core
IGF2BP1	RPS15A	0.305	0.095	0.074	0.084	0.43	0.278	core
IGF2BP1	RPS16	0.432	0.094	0.031	0.217	0.478	0.212	core
IGF2BP1	RPS17	0.346	0.061	0.032	0.123	0.45	0.11	core
IGF2BP1	RPS18	0.424	0.24	0.054	0.008	0.466	0.266	core
IGF2BP1	RPS19	0.402	0.107	0.056	0.008	0.455	0.199	core
IGF2BP1	RPS20	0.344	0.099	0.07	0.105	0.44	0.254	core
IGF2BP1	RPS23	0.428	0.12	0.025	0.108	0.465	0.215	core
IGF2BP1	RPS25	0.406	0.102	0.114	0.087	0.452	0.272	core
IGF2BP1	RPS27	0.407	0.093	0.09	0.084	0.453	0.257	core
IGF2BP1	RSL1D1	0.3	0.174	0.058	0.015	0.422	0.272	core
IGF2BP1	SMARCA5	0.307	0.194	0.106	0.009	0.421	0.332	core
IGF2BP1	SND1	0.41	0.147	0.027	0.001	0.453	0.278	core
IGF2BP1	SNIP1	0.32	0.268	0.018	0.091	0.441	0.254	core
IGF2BP1	SNRNP40	0.312	0.092	0.028	0.111	0.362	0.384	core
IGF2BP1	SNRNP70	0.308	0.213	0.098	0.005	0.438	0.223	core
IGF2BP1	SRP72	0.347	0.149	0.125	0.115	0.398	0.374	core
IGF2BP1	SRRT	0.317	0.161	0.029	0.075	0.432	0.256	core
IGF2BP1	SRSF1	0.422	0.21	0.168	0.015	0.462	0.248	core
IGF2BP1	SRSF5	0.336	0.213	0.022	0.01	0.438	0.141	core
IGF2BP1	SRSF9	0.354	0.212	0.001	0.086	0.443	0.297	core
IGF2BP1	SRSF10	0.46	0.044	0.028	0.012	0.465	0.248	core
IGF2BP1	SSB	0.301	0.264	0.039	0.131	0.387	0.372	core
IGF2BP1	SSRP1	0.361	0.211	0.147	0.082	0.375	0.422	core
IGF2BP1	STAU1	0.561	0.111	0.045	0.139	0.559	0.172	core
IGF2BP1	SUPT16H	0.316	0.175	0.034	0.084	0.43	0.351	core
IGF2BP1	SYNCRIP	0.3	0.243	0.16	0.003	0.424	0.304	core
IGF2BP1	TRA2A	0.435	0.188	0.015	0.011	0.46	0.172	core
IGF2BP1	TRA2B	0.397	0.214	0.232	0.125	0.452	0.357	core
IGF2BP1	TRMT112	0.348	0.15	0.037	0.077	0.44	0.316	core
IGF2BP1	U2AF2	0.483	0.193	0.023	0.014	0.481	0.337	core
IGF2BP1	WBSCR22	0.425	0.083	0.066	0.002	0.449	0.277	core
IGF2BP1	YTHDC1	0.307	0.109	0.032	0.0	0.437	0.223	core
IGF2BP2	TNF	0.39	0.039	0.043	0.01	0.162	0.51	core
IGF2BP3	LARP1	0.376	0.116	0.098	0.35	0.453	0.098	core
IGF2BP3	NPM1	0.342	0.172	0.024	0.091	0.44	0.148	core
IGF2BP3	RPL15	0.392	0.132	0.101	0.115	0.481	0.094	core
IGF2R	INS	0.326	0.037	0.024	0.011	0.004	0.444	core
IGF2R	PLIN3	0.428	0.108	0.016	0.137	0.459	0.193	core
IGF2R	PSMA8	0.304	0.068	0.197	0.001	0.091	0.427	core
IGF2R	TNF	0.322	0.002	0.023	0.007	0.078	0.451	core
IGFALS	IGFBP3	0.304	0.298	0.063	0.134	0.447	0.041	core
IGFALS	ITIH2	0.386	0.524	0.125	0.014	0.092	0.254	core
IGFALS	KLKB1	0.37	0.526	0.013	0.087	0.076	0.21	core
IGFALS	KNG1	0.4	0.54	0.027	0.014	0.08	0.238	core
IGFALS	PLG	0.361	0.456	0.025	0.006	0.098	0.32	core
IGFALS	PROC	0.331	0.396	0.046	0.181	0.092	0.301	core
IGFALS	SERPINA3	0.311	0.443	0.113	0.256	0.09	0.127	core
IGFALS	SERPINF2	0.349	0.448	0.074	0.091	0.079	0.306	core
IGFALS	TF	0.394	0.515	0.032	0.079	0.092	0.289	core
IGFALS	TTR	0.338	0.454	0.018	0.106	0.093	0.254	core
IGFBP1	PAPPA	0.484	0.003	0.266	0.342	0.08	0.09	core
IGFBP1	PCK1	0.323	0.054	0.054	0.011	0.116	0.405	core
IGFBP1	SP1	0.482	0.003	0.048	0.343	0.078	0.047	core
IGFBP1	TF	0.323	0.004	0.065	0.237	0.112	0.412	core
IGFBP3	IGFBP5	0.394	0.285	0.04	0.342	0.08	0.224	core
IGFBP3	PLG	0.423	0.371	0.056	0.003	0.445	0.2	core
IGFBP3	RXRA	0.371	0.108	0.158	0.179	0.449	0.173	core
IGFBP3	TF	0.337	0.307	0.061	0.003	0.454	0.052	core
IGFBP3	TP53	0.551	0.165	0.026	0.003	0.08	0.07	core
IGFBP4	PAPPA	0.394	0.049	0.082	0.343	0.077	0.215	core
IGFBP4	PLG	0.304	0.36	0.073	0.005	0.077	0.243	core
IGFBP4	TNF	0.386	0.004	0.05	0.012	0.092	0.496	core
IGFBP7	MYH9	0.357	0.528	0.024	0.131	0.092	0.265	core
IGFBP7	MYL9	0.302	0.522	0.033	0.006	0.004	0.364	core
IGFBP7	MYLK	0.321	0.565	0.002	0.004	0.098	0.288	core
IGFBP7	PSMA8	0.311	0.068	0.02	0.002	0.076	0.412	core
IGFBP7	TAGLN	0.407	0.532	0.122	0.012	0.07	0.358	core
IGFBP7	TGFB1I1	0.367	0.517	0.084	0.075	0.074	0.348	core
IGFBP7	TIMP2	0.423	0.444	0.018	0.085	0.091	0.443	core
IGFBP7	VIM	0.386	0.48	0.021	0.184	0.071	0.31	core
IGFLR1	IL2	0.304	0.005	0.017	0.08	0.024	0.504	core
IGHMBP2	NELFE	0.441	0.094	0.121	0.133	0.501	0.146	core
IGLL1	IGLL5	0.418	0.471	0.089	0.005	0.423	0.105	core
IGSF6	IL2	0.365	0.053	0.029	0.081	0.04	0.49	core
IGSF6	IL12B	0.44	0.007	0.149	0.192	0.025	0.507	core
IGSF6	IL23R	0.338	0.047	0.105	0.009	0.029	0.478	core
IGSF6	IL27	0.301	0.039	0.215	0.137	0.002	0.455	core
IGSF6	KLRK1	0.313	0.001	0.014	0.187	0.028	0.449	core
IGSF6	LILRA1	0.312	0.038	0.077	0.012	0.002	0.43	core
IGSF6	NCF2	0.372	0.005	0.065	0.005	0.039	0.492	core
IGSF6	P2RY13	0.331	0.006	0.222	0.006	0.002	0.482	core
IGSF6	PIK3CD	0.346	0.043	0.025	0.146	0.042	0.483	core
IGSF6	PIK3CG	0.353	0.005	0.082	0.076	0.0	0.494	core
IGSF6	PLEK	0.301	0.045	0.177	0.138	0.042	0.457	core
IGSF6	PRKCD	0.323	0.048	0.003	0.006	0.04	0.449	core
IGSF6	PTAFR	0.311	0.0	0.049	0.092	0.026	0.453	core
IGSF6	PTPN6	0.301	0.003	0.085	0.111	0.039	0.423	core
